"date","movie","rank","rating","imdb.id"
2013-09-01,"Pain and Gain",6,6.7,"tt1980209"
2013-09-01,"Iron Man 3",7,7.5,"tt1300854"
2013-09-01,"The Conjuring",8,7.9,"tt1457767"
2013-09-01,"Breakout",9,NA,"tt2314886"
2013-09-01,"R.I.P.D",10,5.5,"tt0790736"
2013-09-08,"World War Z",1,7.2,"tt0816711"
2013-09-08,"Now You See Me",2,7.4,"tt1670345"
2013-09-08,"We're the Millers",3,7.2,"tt1723121"
2013-09-08,"Kick-Ass 2",4,7.2,"tt1650554"
2013-09-08,"Pain and Gain",5,6.7,"tt1980209"
2013-09-08,"Star Trek Into Darkness",6,8.1,"tt1408101"
2013-09-08,"The Kings of Summer",7,7.3,"tt2179116"
2013-09-08,"The Bling Ring",8,6.1,"tt2132285"
2013-09-08,"I Spit On Your Grave 2",9,5.5,"tt2537176"
2013-09-08,"Iron Man 3",10,7.5,"tt1300854"
2013-09-15,"World War Z",1,7.2,"tt0816711"
2013-09-15,"This is the End",2,7.6,"tt1245492"
2013-09-15,"Jobs",3,5.5,"tt2357129"
2013-09-15,"The Hangover Part 3",4,6,"tt1951261"
2013-09-15,"Now You See Me",5,7.4,"tt1670345"
2013-09-15,"We're the Millers",6,7.2,"tt1723121"
2013-09-15,"The Croods",7,7.3,"tt0481499"
2013-09-15,"Pain and Gain",8,6.7,"tt1980209"
2013-09-15,"The World's End",9,7.6,"tt1213663"
2013-09-15,"Kick-Ass 2",10,7.2,"tt1650554"
2013-09-22,"After Earth",1,4.9,"tt1815862"
2013-09-22,"This is the End",2,7.6,"tt1245492"
2013-09-22,"World War Z",3,7.2,"tt0816711"
2013-09-22,"Jobs",4,5.5,"tt2357129"
2013-09-22,"The Hangover Part 3",5,6,"tt1951261"
2013-09-22,"We're the Millers",6,7.2,"tt1723121"
2013-09-22,"Kick-Ass 2",7,7.2,"tt1650554"
2013-09-22,"Now You See Me",8,7.4,"tt1670345"
2013-09-22,"Elysium",9,7,"tt1535108"
2013-09-22,"Stuck In Love",10,6.8,"tt2205697"
2013-09-29,"After Earth",1,4.9,"tt1815862"
2013-09-29,"Bounty Killer",2,4.7,"tt2369396"
2013-09-29,"Curse of Chucky",3,5.9,"tt2230358"
2013-09-29,"White house Down",4,6.4,"tt2334879"
2013-09-29,"This is the End",5,7.6,"tt1245492"
2013-09-29,"The Hangover Part 3",6,6,"tt1951261"
2013-09-29,"World War Z",7,7.2,"tt0816711"
2013-09-29,"We're the Millers",8,7.2,"tt1723121"
2013-09-29,"Jobs",9,5.5,"tt2357129"
2013-09-29,"Dead In a Tombstone",10,4.5,"tt2268419"
2013-10-06,"Pacific Rim",1,7.4,"tt1663662"
2013-10-06,"The Internship",2,6.3,"tt2234155"
2013-10-06,"The Lone Ranger",3,6.6,"tt1210819"
2013-10-06,"Elysium",4,7,"tt1535108"
2013-10-06,"After Earth",5,4.9,"tt1815862"
2013-10-06,"This is the End",6,7.6,"tt1245492"
2013-10-06,"2 Guns",7,7,"tt1272878"
2013-10-06,"Embrace of the Vampire",8,NA,"tt3148890"
2013-10-06,"White house Down",9,6.4,"tt2334879"
2013-10-06,"Bounty Killer",10,4.7,"tt2369396"
2013-10-13,"Pacific Rim",1,7.4,"tt1663662"
2013-10-13,"White house Down",2,6.4,"tt2334879"
2013-10-13,"Elysium",3,7,"tt1535108"
2013-10-13,"The Internship",4,6.3,"tt2234155"
2013-10-13,"The Lone Ranger",5,6.6,"tt1210819"
2013-10-13,"Monsters University",6,7.5,"tt1453405"
2013-10-13,"The Mortal Instruments City of Bones",7,6.4,"tt1538403"
2013-10-13,"2 Guns",8,7,"tt1272878"
2013-10-13,"After Earth",9,4.9,"tt1815862"
2013-10-13,"This is the End",10,7.6,"tt1245492"
2013-10-20,"Man of Steel",1,7.5,"tt0770828"
2013-10-20,"Pacific Rim",2,7.4,"tt1663662"
2013-10-20,"Despicable Me 2",3,7.7,"tt1690953"
2013-10-20,"White house Down",4,6.4,"tt2334879"
2013-10-20,"The Lone Ranger",5,6.6,"tt1210819"
2013-10-20,"Kick-Ass 2",6,7,"tt1650554"
2013-10-20,"Elysium",7,7,"tt1535108"
